;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
587,-0.248,0.0173885
588,-0.247,0.0173885
589,-0.246,0.0173885
590,-0.245,0.0173885
591,-0.244,0.0173885
592,-0.243,0.0173885
593,-0.242,0.0173885
594,-0.241,0.0173885
595,-0.24,0.0173885
596,-0.239,0.0173885
597,-0.238,0.0173885
598,-0.237,0.0173885
599,-0.236,0.0173885
600,-0.235,0.0173885
601,-0.234,0.0173885
602,-0.233,0.0173885
603,-0.232,0.0173885
604,-0.231,0.0173885
605,-0.23,0.0173885
606,-0.229,0.0173885
607,-0.228,0.0173885
608,-0.227,0.0173885
609,-0.226,0.0173885
610,-0.225,0.0173885
611,-0.224,0.0173885
612,-0.223,0.0173885
613,-0.222,0.0173885
614,-0.221,0.0173885
615,-0.22,0.0173885
616,-0.219,0.0173885
617,-0.218,0.0173885
618,-0.217,0.0173885
619,-0.216,0.0173885
620,-0.215,0.0173885
621,-0.214,0.0173885
622,-0.213,0.0173885
623,-0.212,0.0173885
624,-0.211,0.0173885
625,-0.21,0.0173885
626,-0.209,0.0173885
627,-0.208,0.0173885
628,-0.207,0.0173885
629,-0.206,0.0173885
630,-0.205,0.0173885
631,-0.204,0.0173885
632,-0.203,0.0173885
633,-0.202,0.0173885
634,-0.201,0.0173885
635,-0.2,0.0173885
636,-0.199,0.0173885
637,-0.198,0.0173885
638,-0.197,0.0173885
639,-0.196,0.0173885
640,-0.195,0.0173885
641,-0.194,0.0173885
642,-0.193,0.0173885
643,-0.192,0.0173885
644,-0.191,0.0173885
645,-0.19,0.0173885
646,-0.189,0.0173885
647,-0.188,0.0173885
648,-0.187,0.0173885
649,-0.186,0.0173885
650,-0.185,0.0173885
651,-0.184,0.0173885
652,-0.183,0.0173885
653,-0.182,0.0173885
654,-0.181,0.0173885
655,-0.18,0.0173885
656,-0.179,0.0173885
657,-0.178,0.0173885
658,-0.177,0.0173885
659,-0.176,0.0173885
660,-0.175,0.0173885
661,-0.174,0.0173885
662,-0.173,0.0173885
663,-0.172,0.0173885
664,-0.171,0.0173885
665,-0.17,0.0173885
666,-0.169,0.0173885
667,-0.168,0.0173885
668,-0.167,0.0173885
